Data (bytes)	Time (s)
0	2.000793
27216	2.000696
58464	2.000660
7056	2.000710
78624	2.000655
144144	2.000350
265104	2.000825
216720	2.000695
246960	2.000576
199584	2.000638
175392	2.000634
154224	2.000650
221760	2.000614
0	2.000678
