Data (bytes)	Time (s)
484848	2.000646
441504	2.000468
440496	2.000300
447552	2.000290
452592	2.000520
455616	2.000288
453600	2.000543
451584	2.000284
437472	2.000618
443520	2.000288
459648	2.000661
449568	2.000645
456624	2.000294
462672	2.000592
454608	2.000298
