Data (bytes)	Time (s)
460656	2.000766
452592	2.000520
459648	2.000652
453600	2.000607
471744	2.000284
461664	2.000650
463680	2.000287
454608	2.000291
451584	2.000302
466704	2.000655
463680	2.000759
457632	2.000577
462672	2.000723
452592	2.000298
446544	2.000542
