Data (bytes)	Time (s)
195552	2.000686
270144	2.000623
270144	2.000650
267120	2.000668
275184	2.000490
255024	2.000303
254016	2.000633
284256	2.000296
269136	2.000304
281232	2.000295
270144	2.000651
255024	2.000300
285264	2.000594
284256	2.000657
275184	2.000628
