Data (bytes)	Time (s)
1008	2.000719
6048	2.000639
46368	2.000663
45360	2.000480
54432	2.000687
81648	2.000636
154224	2.000769
166320	2.000615
219744	2.000336
211680	2.000719
210672	2.000295
210672	2.000945
211680	2.000741
201600	2.000349
197568	2.000339
