Data (bytes)	Time (s)
6048	2.000679
179424	2.000366
195552	2.000598
197568	2.000655
245952	2.000434
18144	2.000713
182448	2.000767
220752	2.000678
198576	2.000349
204624	2.000299
19152	2.000771
169344	2.000623
232848	2.000726
222768	2.000354
228816	2.000667
